Escolaridad,Nivel Escolar,Ocupación,Ingreso,Cuenta de Nómina,Tarjeta de Débito,Tarjeta Dummy,Uso de Tarjeta,Bancos,BancoDummy,Tamaño de localidad,Región,RegionDummy,Genero,GeneroDummy,Edad
2,Primaria,trabajó por lo menos una hora,1800,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,51
2,Primaria,Es jubilada(o) o pensionada(o),0,No,Sí,1,0,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,68
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,72
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,10000,Sí,Sí,1,0,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,37
8,Licenciatura o ingeniería (profesional),No trabajó,3000,Sí,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,32
3,Secundaria.,trabajó por lo menos una hora,8000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,67
6,Preparatoria o bachillerato,trabajó por lo menos una hora,13000,Sí,Sí,1,30,No sabe,5,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,20
8,Licenciatura o ingeniería (profesional),Es jubilada(o) o pensionada(o),0,No,Sí,1,1,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,49
8,Licenciatura o ingeniería (profesional),Está incapacitada(o) permanentemente para trabajar,0,No,Sí,1,0,No sabe,5,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,83
2,Primaria,trabajó por lo menos una hora,0,No,Sí,1,0,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,49
8,Licenciatura o ingeniería (profesional),Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,57
9,Maestría o doctorado,trabajó por lo menos una hora,40000,Sí,Sí,1,10,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,63
8,Licenciatura o ingeniería (profesional),Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,Sí,Sí,1,10,HSBC,6,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,50
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,60
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,Sí,Sí,1,1,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,41
2,Primaria,Es jubilada(o) o pensionada(o),0,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,65
6,Preparatoria o bachillerato,trabajó por lo menos una hora,15000,Sí,Sí,1,30,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,34
6,Preparatoria o bachillerato,trabajó por lo menos una hora,1400,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,38
2,Primaria,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,63
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,8000,Sí,Sí,1,1,No sabe,5,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,35
3,Secundaria.,trabajó por lo menos una hora,14000,Sí,Sí,1,6,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,67
3,Secundaria.,trabajó por lo menos una hora,12000,Sí,Sí,1,2,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,34
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,2,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,27
8,Licenciatura o ingeniería (profesional),No trabajó,0,No,Sí,1,2,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,73
0,Ninguno,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,75
2,Primaria,trabajó por lo menos una hora,5600,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,57
3,Secundaria.,Es jubilada(o) o pensionada(o),0,No,Sí,1,0,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,70
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,22
4,Estudios técnicos con secundaria terminada,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,69
6,Preparatoria o bachillerato,trabajó por lo menos una hora,11500,Sí,Sí,1,10,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,25
2,Primaria,trabajó por lo menos una hora,4600,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,39
6,Preparatoria o bachillerato,Es estudiante,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,19
8,Licenciatura o ingeniería (profesional),Es estudiante,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,23
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,No sabe,5,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,66
6,Preparatoria o bachillerato,trabajó por lo menos una hora,33000,Sí,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,56
6,Preparatoria o bachillerato,trabajó por lo menos una hora,5200,Sí,Sí,1,4,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,57
8,Licenciatura o ingeniería (profesional),Es estudiante,0,No,Sí,1,0,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,24
2,Primaria,Es jubilada(o) o pensionada(o),0,No,Sí,1,0,No sabe,5,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,63
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,6000,Sí,Sí,1,8,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,36
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,7000,Sí,Sí,1,3,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,28
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,11000,Sí,Sí,1,0,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,39
6,Preparatoria o bachillerato,trabajó por lo menos una hora,5600,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,50
3,Secundaria.,trabajó por lo menos una hora,2000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,31
6,Preparatoria o bachillerato,trabajó por lo menos una hora,16000,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,68
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,25000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,51
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,8000,No,Sí,1,8,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,67
0,Ninguno,No trabajó,0,No,Sí,1,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,86
3,Secundaria.,Es jubilada(o) o pensionada(o),400,No,Sí,1,0,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,64
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,8000,No,Sí,1,5,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,21
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,8000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,47
3,Secundaria.,trabajó por lo menos una hora,7200,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,31
4,Estudios técnicos con secundaria terminada,trabajó por lo menos una hora,15000,Sí,Sí,1,3,Otro,7,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,58
6,Preparatoria o bachillerato,trabajó por lo menos una hora,5000,Sí,Sí,1,8,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,18
6,Preparatoria o bachillerato,trabajó por lo menos una hora,2000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,53
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,75
3,Secundaria.,trabajó por lo menos una hora,8000,Sí,Sí,1,1,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,34
2,Primaria,trabajó por lo menos una hora,7200,No,Sí,1,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,57
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,30
9,Maestría o doctorado,Es jubilada(o) o pensionada(o),0,Sí,Sí,1,2,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,54
2,Primaria,No trabajó,4000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,53
3,Secundaria.,trabajó por lo menos una hora,2800,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,29
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,30
3,Secundaria.,trabajó por lo menos una hora,2000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,27
2,Primaria,Es jubilada(o) o pensionada(o),0,No,Sí,1,0,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,63
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,Sí,Sí,1,4,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,38
4,Estudios técnicos con secundaria terminada,Es jubilada(o) o pensionada(o),0,Sí,Sí,1,0,No sabe,5,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,78
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,Sí,Sí,1,2,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,54
3,Secundaria.,trabajó por lo menos una hora,8000,Sí,Sí,1,0,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,58
3,Secundaria.,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,32
9,Maestría o doctorado,trabajó por lo menos una hora,10000,No,Sí,1,5,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,32
3,Secundaria.,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,24
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,59
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,25
3,Secundaria.,trabajó por lo menos una hora,10400,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,18
2,Primaria,trabajó por lo menos una hora,5600,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,54
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,10000,Sí,Sí,1,0,Banorte,3,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,29
2,Primaria,trabajó por lo menos una hora,4200,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,45
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,22
6,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,500,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,55
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,5000,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,25
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,25000,Sí,Sí,1,15,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,30
3,Secundaria.,Está incapacitada(o) permanentemente para trabajar,0,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,50
6,Preparatoria o bachillerato,buscó trabajo,0,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,19
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,10000,Sí,Sí,1,0,Citibanamex,1,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,32
2,Primaria,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,61
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,4600,Sí,Sí,1,15,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,24
3,Secundaria.,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,19
2,Primaria,trabajó por lo menos una hora,4400,Sí,Sí,1,0,BBVA,2,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,57
7,Estudios técnicos con preparatoria terminada.,trabajó por lo menos una hora,6000,Sí,Sí,1,2,Santander,4,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,52
6,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,Banco Azteca,8,100 000 y más habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,25
